FECHA,KITENI,PS#1,PS#2,PS#3,PS#4,FECHA;KITENI;PS#1;PS#2;PS#3;PS#4
2006-04-23,0.0,0.0,0.0,0.0,0.0,
2006-04-24,0.0,0.0,0.0,0.0,0.0,
2006-04-25,3.0,25.0,0.0,0.0,0.0,
2006-04-26,2.0,3.0,0.0,0.0,0.0,
2006-04-27,3.3,1.6,1.2,0.0,0.0,
2006-04-28,0.0,4.0,0.0,0.0,0.0,
2006-04-29,0.0,0.0,0.0,0.0,0.0,
2006-04-30,0.0,2.0,4.2,0.0,0.0,
2006-05-01,0.0,1.4,0.0,0.0,0.0,
2006-05-02,9.0,1.2,0.2,0.0,0.0,
2006-05-03,10.2,0.8,7.3,0.0,0.0,
2006-05-04,0.5,0.4,0.0,0.0,0.0,
2006-05-05,0.0,0.0,0.0,0.0,0.0,
2006-05-06,0.0,0.0,0.2,0.0,0.0,
2006-05-07,21.1,0.0,23.3,0.0,0.0,
2006-05-08,20.1,1.0,2.1,0.0,0.0,
2006-05-09,5.1,0.0,1.2,0.0,0.0,
2006-05-10,0.4,0.0,1.4,0.0,0.0,
2006-05-11,1.1,0.1,0.4,0.0,0.0,
2006-05-12,0.0,0.0,0.2,0.0,0.0,
2006-05-13,0.0,0.0,0.0,0.0,0.0,
2006-05-14,0.0,0.0,0.0,0.0,0.0,
2006-05-15,0.0,0.0,0.0,0.0,0.0,
2006-05-16,0.0,0.0,0.0,0.0,0.0,
2006-05-17,0.0,0.0,0.0,0.0,0.0,
2006-05-18,0.0,0.0,0.0,0.0,0.0,
2006-05-19,0.0,0.0,0.0,0.0,0.0,
2006-05-20,0.0,0.1,0.0,0.0,0.0,
2006-05-21,0.0,4.3,0.2,0.0,0.0,
2006-05-22,0.0,3.0,0.3,0.0,0.0,
2006-05-23,0.0,16.5,0.0,0.0,0.0,
2006-05-24,0.0,0.0,0.0,0.0,0.0,
2006-05-25,0.0,0.0,0.2,0.0,0.0,
2006-05-26,0.0,0.0,0.0,0.0,0.0,
2006-05-27,0.0,0.0,0.0,0.0,0.0,
2006-05-28,0.0,0.0,0.0,0.0,0.0,
2006-05-29,0.0,0.0,0.0,0.0,0.0,
2006-05-30,0.0,0.0,0.2,0.0,0.0,
2006-05-31,0.0,0.0,0.0,0.0,0.0,
2006-06-01,4.1,0.0,3.2,0.0,0.0,
2006-06-02,0.0,0.0,0.0,0.0,0.0,
2006-06-03,1.0,0.0,3.0,0.0,0.0,
2006-06-04,1.2,23.7,0.4,0.0,0.0,
2006-06-05,0.4,8.4,8.8,0.0,0.0,
2006-06-06,0.0,30.4,0.4,0.0,0.0,
2006-06-07,22.0,0.1,20.2,0.0,0.0,
2006-06-08,25.5,12.5,50.0,0.0,0.0,
2006-06-09,0.1,3.3,0.4,0.0,0.0,
2006-06-10,0.0,14.3,1.8,0.0,0.0,
2006-06-11,0.0,0.8,0.4,0.0,0.0,
2006-06-12,4.0,10.5,4.0,0.0,0.0,
2006-06-13,1.4,0.3,0.1,0.0,0.0,
2006-06-14,1.2,0.3,0.1,0.0,0.0,
2006-06-15,0.2,0.2,1.0,0.0,0.0,
2006-06-16,9.3,0.0,0.6,0.0,0.0,
2006-06-17,0.2,0.3,7.0,0.0,0.0,
2006-06-18,0.0,0.2,0.0,0.0,0.0,
2006-06-19,0.0,0.2,0.2,0.0,0.0,
2006-06-20,0.0,0.2,0.4,0.0,0.0,
2006-06-21,0.0,9.3,0.4,0.0,0.0,
2006-06-22,30.0,0.3,4.2,0.0,0.0,
2006-06-23,2.2,0.7,6.6,0.0,0.0,
2006-06-24,18.0,15.3,10.0,0.0,0.0,
2006-06-25,0.0,2.4,2.2,0.0,0.0,
2006-06-26,0.0,0.1,0.0,0.0,0.0,
2006-06-27,0.0,0.0,0.0,0.0,0.0,
2006-06-28,0.1,0.8,0.2,0.0,0.0,
2006-06-29,0.0,0.1,2.5,0.0,0.0,
2006-06-30,0.0,0.2,0.0,0.0,0.0,
2006-07-01,0.0,0.0,0.0,0.0,0.0,
2006-07-02,0.0,0.0,50.0,0.0,0.0,
2006-07-03,0.0,0.4,2.0,0.0,0.0,
2006-07-04,0.0,0.0,0.4,0.0,0.0,
2006-07-05,0.0,0.0,0.4,0.0,0.0,
2006-07-06,0.0,0.3,0.0,0.0,0.0,
2006-07-07,0.0,0.2,0.0,0.0,0.0,
2006-07-08,0.0,0.0,0.0,0.0,0.0,
2006-07-09,0.0,0.1,0.2,0.0,0.0,
2006-07-10,0.2,0.2,0.2,0.0,0.0,
2006-07-11,0.0,0.2,1.2,0.0,0.0,
2006-07-12,0.0,0.1,0.0,0.0,0.0,
2006-07-13,0.0,0.0,0.0,0.0,0.0,
2006-07-14,0.0,0.4,0.0,0.0,0.0,
2006-07-15,1.2,16.4,0.0,0.0,0.0,
2006-07-16,1.4,18.4,5.0,0.0,0.0,
2006-07-17,0.3,0.3,1.4,0.0,0.0,
2006-07-18,0.0,0.0,2.4,0.0,0.0,
2006-07-19,0.0,0.2,0.2,0.0,0.0,
2006-07-20,0.0,0.0,0.4,0.0,0.0,
2006-07-21,0.0,0.0,0.0,0.0,0.0,
2006-07-22,0.0,0.0,0.0,0.0,0.0,
2006-07-23,0.0,0.0,0.0,0.0,0.0,
2006-07-24,0.0,0.0,0.3,0.0,0.0,
2006-07-25,0.0,0.0,0.3,0.0,0.0,
2006-07-26,10.0,2.3,0.3,0.0,0.0,
2006-07-27,0.0,0.0,15.0,0.0,0.0,
2006-07-28,6.0,0.0,3.0,0.0,0.0,
2006-07-29,2.3,1.0,22.3,0.0,0.0,
2006-07-30,2.1,14.2,1.0,0.0,0.0,
2006-07-31,4.3,5.2,4.3,0.0,0.0,
2006-08-01,0.0,0.0,0.4,0.0,0.0,
2006-08-02,0.0,0.0,0.0,0.0,0.0,
2006-08-03,0.0,0.0,0.0,0.0,0.0,
2006-08-04,0.0,0.0,0.0,0.0,0.0,
2006-08-05,0.0,0.0,3.2,0.0,0.0,
2006-08-06,0.0,0.0,0.0,0.0,0.0,
2006-08-07,0.0,0.0,0.0,0.0,0.0,
2006-08-08,0.0,0.0,0.0,0.0,0.0,
2006-08-09,0.0,0.0,0.0,0.0,0.0,
2006-08-10,0.0,8.0,0.0,0.0,0.0,
2006-08-11,0.4,21.0,,0.0,0.0,
2006-08-12,0.0,0.0,0.0,0.0,0.0,
2006-08-13,1.1,2.2,11.0,0.0,0.0,
2006-08-14,0.0,2.0,0.0,0.0,0.0,
2006-08-15,0.0,0.0,0.0,0.0,0.0,
2006-08-16,0.0,0.0,0.0,0.0,0.0,
2006-08-17,0.0,0.2,1.0,0.0,0.0,
2006-08-18,10.0,2.0,6.0,0.0,0.0,
2006-08-19,0.0,0.0,0.0,0.0,0.0,
2006-08-20,2.0,0.0,7.0,0.0,0.0,
2006-08-21,0.0,0.0,2.0,0.0,0.0,
2006-08-22,0.0,0.0,0.0,0.0,0.0,
2006-08-23,33.0,0.0,7.0,0.0,0.0,
2006-08-24,0.0,0.0,0.4,0.0,0.0,
2006-08-25,0.0,0.0,0.0,0.0,0.0,
2006-08-26,4.0,0.0,0.0,0.0,0.0,
2006-08-27,4.0,0.0,0.2,0.0,0.0,
2006-08-28,0.3,0.0,16.2,0.0,0.0,
2006-08-29,3.0,6.2,17.0,0.0,0.0,
2006-08-30,10.5,0.0,0.7,0.0,0.0,
2006-08-31,16.5,0.0,24.0,0.0,0.0,
2006-09-01,1.0,0.0,1.2,0.0,0.0,
2006-09-02,1.0,0.0,1.2,0.0,0.0,
2006-09-03,0.0,0.0,0.0,0.0,0.0,
2006-09-04,0.2,25.0,7.0,0.0,0.0,
2006-09-05,58.0,0.0,0.0,0.0,0.0,
2006-09-06,0.6,0.0,0.1,0.0,0.0,
2006-09-07,0.0,0.0,0.0,0.0,0.0,
2006-09-08,0.0,0.0,0.0,0.0,0.0,
2006-09-09,0.0,0.0,0.0,0.0,0.0,
2006-09-10,0.0,0.0,12.0,0.0,0.0,
2006-09-11,0.0,0.0,0.0,0.0,0.0,
2006-09-12,0.0,0.0,2.3,0.0,0.0,
2006-09-13,0.0,0.0,0.2,0.0,0.0,
2006-09-14,1.0,2.8,20.0,0.0,0.0,
2006-09-15,0.0,0.0,14.2,0.0,0.0,
2006-09-16,0.0,0.0,0.0,0.0,0.0,
2006-09-17,0.0,0.0,0.2,0.0,0.0,
2006-09-18,0.0,0.0,0.0,0.0,0.0,
2006-09-19,0.3,0.0,0.0,0.0,0.0,
2006-09-20,0.0,0.0,0.0,0.0,0.0,
2006-09-21,14.0,0.0,0.3,0.0,0.0,
2006-09-22,2.0,0.0,0.0,0.0,0.0,
2006-09-23,0.0,0.0,0.0,0.0,0.0,
2006-09-24,0.0,0.0,0.0,0.0,0.0,
2006-09-25,41.1,5.0,42.1,0.0,0.0,
2006-09-26,2.0,2.0,4.0,0.0,0.0,
