Num,Año,Mes,Día,Horas,Base Operativa Kiteni,PS-1,PS-2,PS-3,PS-4
84,2016,3,24,18:00A6:41,4.6,0.3,5.4,2.6,0.0
85,2016,3,25,6:00A18:42,3.0,17.0,1.2,2.4,0.0
86,2016,3,26,18:00A6:42,37.8,29.7,29.8,18.6,2.8
87,2016,3,27,6:00A18:43,6.6,1.3,16.6,1.8,0.0
88,2016,3,28,18:00A6:43,2.5,6.6,2.1,9.2,2.0
89,2016,3,29,6:00A18:44,2.5,6.6,1.0,0.0,0.0
90,2016,3,30,18:00A6:44,2.5,6.6,0.0,1.0,0.0
91,2016,3,31,6:00A18:45,2.5,56.8,1.0,3.0,0.3
92,2016,4,1,18:00A6:45,8.2,21.8,5.0,0.0,0.3
93,2016,4,2,6:00A18:46,2.6,4.1,0.8,0.0,0.3
94,2016,4,3,18:00A6:46,2.6,25.9,0.2,0.0,0.0
95,2016,4,4,6:00A18:47,12.6,0.2,8.3,1.6,0.8
96,2016,4,5,18:00A6:47,2.5,11.4,21.4,5.2,1.0
97,2016,4,6,6:00A18:48,2.6,4.0,10.6,7.8,2.2
98,2016,4,7,18:00A6:48,14.9,2.0,6.1,8.0,0.0
99,2016,4,8,6:00A18:49,11.5,3.8,2.2,10.2,2.0
100,2016,4,9,18:00A6:49,2.6,3.8,0.2,16.0,0.5
101,2016,4,10,6:00A18:50,2.6,4.1,0.0,2.0,0.0
102,2016,4,11,18:00A6:50,0.8,4.1,0.3,1.0,0.5
103,2016,4,12,6:00A18:51,15.8,43.5,25.0,9.0,2.0
104,2016,4,13,18:00A6:51,1.6,4.7,12.2,0.2,0.2
105,2016,4,14,6:00A18:52,2.6,0.2,2.0,0.2,3.4
106,2016,4,15,18:00A6:52,8.6,20.7,4.0,4.6,0.6000000000000001
107,2016,4,16,6:00A18:53,2.6,0.2,0.3,1.2,0.0
108,2016,4,17,18:00A6:53,4.4,5.4,14.2,24.0,1.6
109,2016,4,18,6:00A18:54,12.4,4.1,27.8,15.2,6.4
110,2016,4,19,18:00A6:54,14.0,1.2,62.59999999999999,0.2,0.2
111,2016,4,20,6:00A18:55,4.6,12.5,2.5,4.2,0.2
112,2016,4,21,18:00A6:55,3.4,17.1,7.5,9.8,36.4
113,2016,4,22,6:00A18:56,11.0,10.3,16.3,2.2,0.6
114,2016,4,23,18:00A6:56,4.0,0.3,6.4,1.0,0.4
115,2016,4,24,6:00A18:57,21.2,10.1,16.9,0.2,0.2
116,2016,4,25,18:00A6:57,0.4,7.3,0.0,0.0,0.2
117,2016,4,26,6:00A18:58,2.6,0.1,0.0,0.0,0.0
118,2016,4,27,18:00A6:58,2.0,4.3,0.0,0.0,0.0
119,2016,4,28,6:00A18:59,2.6,35.2,2.0,0.4,0.0
120,2016,4,29,18:00A6:59,2.6,0.2,0.2,1.0,0.0
121,2016,4,30,6:00A18:60,0.2,4.1,0.0,0.0,0.0
122,2016,5,1,18:00A6:60,0.7,4.9,0.0,0.0,0.0
123,2016,5,2,6:00A18:61,0.7,4.9,0.0,0.0,0.0
124,2016,5,3,18:00A6:61,0.7,4.9,0.6,0.0,0.0
125,2016,5,4,6:00A18:62,0.7,0.1,0.6,0.0,0.0
126,2016,5,5,18:00A6:62,0.7,0.2,0.0,0.0,0.0
127,2016,5,6,6:00A18:63,0.7,4.9,0.0,0.0,0.0
128,2016,5,7,18:00A6:63,0.7,0.2,6.4,0.0,0.0
129,2016,5,8,6:00A18:64,1.1,41.0,4.0,0.0,0.0
130,2016,5,9,18:00A6:64,0.7,77.3,4.5,1.2,2.2
131,2016,5,10,6:00A18:65,0.7,0.1,0.0,0.0,0.0
132,2016,5,11,18:00A6:65,0.7,0.2,0.0,0.0,1.2
133,2016,5,12,6:00A18:66,0.7,52.4,12.4,0.0,0.0
134,2016,5,13,18:00A6:66,0.7,6.5,49.6,3.8,1.0
135,2016,5,14,6:00A18:67,0.7,5.399999999999999,7.800000000000001,8.2,0.2
136,2016,5,15,18:00A6:67,0.7,4.9,0.0,0.0,0.0
137,2016,5,16,6:00A18:68,0.7,7.1,0.0,0.0,0.0
138,2016,5,17,18:00A6:68,1.0,7.2,1.4,0.0,0.2
139,2016,5,18,6:00A18:69,11.0,13.6,6.600000000000001,0.0,0.0
140,2016,5,19,18:00A6:69,1.7,36.3,7.0,0.0,0.8
141,2016,5,20,6:00A18:70,0.8,0.7,2.8,0.0,0.0
142,2016,5,21,18:00A6:70,0.7,0.4,1.4,0.0,0.0
143,2016,5,22,6:00A18:71,2.0,3.9,0.1,0.0,0.0
144,2016,5,23,18:00A6:71,22.2,7.7,37.8,1.0,2.4
145,2016,5,24,6:00A18:72,0.2,1.6,32.1,2.0,6.4
146,2016,5,25,18:00A6:72,0.7,0.5,0.5,0.0,0.0
147,2016,5,26,6:00A18:73,0.7,4.9,2.8,0.0,0.0
148,2016,5,27,18:00A6:73,0.7,14.7,3.0,1.2,0.0
149,2016,5,28,6:00A18:74,0.7,6.4,0.2,0.0,0.0
150,2016,5,29,18:00A6:74,3.2,16.9,4.4,1.2,0.0
151,2016,5,30,6:00A18:75,0.7,2.2,1.4,0.0,0.0
152,2016,5,31,18:00A6:75,0.7,1.8,0.0,0.0,0.0
153,2016,6,1,6:00A18:76,0.8,2.5,0.0,0.0,0.0
154,2016,6,2,18:00A6:76,0.8,2.5,1.0,0.0,0.0
155,2016,6,3,6:00A18:77,0.8,2.5,3.2,0.0,0.0
156,2016,6,4,18:00A6:77,0.8,0.6,0.2,0.0,0.0
157,2016,6,5,6:00A18:78,0.8,0.2,0.2,0.0,0.0
158,2016,6,6,18:00A6:78,3.6,58.0,8.4,0.0,0.0
159,2016,6,7,6:00A18:79,7.9,4.199999999999999,6.4,0.0,0.0
160,2016,6,8,18:00A6:79,1.0,21.4,6.6,0.0,0.0
161,2016,6,9,6:00A18:80,10.0,41.8,12.1,0.0,0.0
162,2016,6,10,18:00A6:80,2.2,0.8,0.4,0.2,0.0
163,2016,6,11,6:00A18:81,0.8,2.5,0.0,0.0,0.0
164,2016,6,12,18:00A6:81,0.8,2.5,0.1,22.4,0.0
165,2016,6,13,6:00A18:82,0.8,2.5,0.1,0.4,0.2
166,2016,6,14,18:00A6:82,0.8,2.5,0.0,0.0,0.0
167,2016,6,15,6:00A18:83,0.8,0.1,0.0,0.0,0.0
168,2016,6,16,18:00A6:83,0.8,2.5,0.0,0.0,0.0
169,2016,6,17,6:00A18:84,0.8,0.1,0.0,0.0,0.0
170,2016,6,18,18:00A6:84,0.8,2.5,0.0,0.0,0.0
171,2016,6,19,6:00A18:85,0.8,7.3,1.4,0.0,0.0
