FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2011-04-28,5.02,2.0,0.0,5.67,0.0
2011-04-29,5.02,12.56,0.0,5.67,0.0
2011-04-30,5.02,12.56,0.0,5.67,0.0
2011-05-01,0.79,3.6,0.0,1.36,0.0
2011-05-02,1.0,10.3,0.0,1.36,0.0
2011-05-03,0.79,5.2,0.0,1.36,0.0
2011-05-04,0.79,2.22,0.0,1.36,0.0
2011-05-05,0.79,2.22,0.0,1.36,0.0
2011-05-06,0.79,2.22,0.0,1.36,0.0
2011-05-07,0.79,2.22,0.0,1.36,0.0
2011-05-08,0.79,2.22,0.0,1.36,0.0
2011-05-09,0.79,2.22,0.0,1.36,0.0
2011-05-10,1.8,27.0,0.0,9.8,0.0
2011-05-11,0.4,2.22,0.0,1.36,0.0
2011-05-12,0.79,2.22,0.0,1.36,0.0
2011-05-13,0.79,2.22,0.0,2.0,0.0
2011-05-14,1.5,2.22,0.0,1.36,0.0
2011-05-15,0.79,1.2,0.0,1.0,0.0
2011-05-16,2.0,3.2,0.0,1.0,0.0
2011-05-17,0.79,0.5,0.0,1.0,0.0
2011-05-18,0.5,0.4,0.0,1.36,0.0
2011-05-19,0.5,2.22,0.0,1.36,0.0
2011-05-20,0.79,2.22,0.0,1.36,0.0
2011-05-21,0.79,2.22,0.0,1.36,0.0
2011-05-22,0.79,2.22,0.0,2.0,0.0
2011-05-23,2.0,2.22,0.0,9.0,0.0
2011-05-24,12.0,17.2,0.0,1.36,0.0
2011-05-25,0.79,2.22,0.0,1.36,0.0
2011-05-26,2.0,2.22,0.0,14.2,0.0
2011-05-27,1.0,0.5,0.0,1.2,0.0
2011-05-28,0.79,2.22,0.0,1.0,0.0
2011-05-29,0.79,2.22,0.0,1.36,0.0
2011-05-30,0.79,2.22,0.0,1.36,0.0
2011-05-31,0.79,2.22,0.0,1.36,0.0
2011-06-01,0.86,1.83,0.0,1.28,0.0
2011-06-02,0.86,1.83,0.0,1.28,0.0
2011-06-03,0.86,1.83,0.0,1.28,0.0
2011-06-04,0.86,23.6,0.0,1.28,0.0
2011-06-05,0.86,1.83,0.0,1.28,0.0
2011-06-06,0.86,1.83,0.0,1.28,0.0
2011-06-07,0.86,1.83,0.0,1.28,0.0
2011-06-08,0.86,1.83,0.0,1.28,0.0
2011-06-09,0.86,1.83,0.0,1.28,0.0
2011-06-10,0.86,19.2,0.0,1.28,0.0
2011-06-11,10.0,1.83,0.0,1.28,0.0
2011-06-12,0.86,1.83,0.0,1.28,0.0
2011-06-13,0.86,1.83,0.0,1.28,0.0
2011-06-14,0.86,1.83,0.0,1.28,0.0
2011-06-15,0.86,1.83,0.0,1.28,0.0
2011-06-16,0.86,1.83,0.0,1.28,0.0
2011-06-17,0.3,1.83,0.0,1.28,0.0
2011-06-18,2.6,6.3,0.0,1.28,0.0
2011-06-19,0.3,1.83,0.0,1.28,0.0
2011-06-20,0.5,1.83,0.0,1.28,0.0
2011-06-21,0.86,1.83,0.0,1.28,0.0
2011-06-22,0.86,1.83,0.0,1.28,0.0
2011-06-23,0.86,1.83,0.0,1.28,0.0
2011-06-24,0.86,1.83,0.0,1.28,0.0
2011-06-25,4.7,1.83,0.0,1.28,0.0
2011-06-26,0.86,1.83,0.0,1.28,0.0
2011-06-27,0.86,3.2,0.0,1.28,0.0
2011-06-28,0.86,1.83,0.0,8.5,0.0
2011-06-29,0.86,0.3,0.0,13.5,0.0
2011-06-30,7.5,0.2,0.0,16.5,0.0
2011-07-01,2.0,1.77,0.0,3.5,0.0
2011-07-02,7.8,8.7,0.0,11.0,0.0
2011-07-03,1.02,3.6,0.0,25.5,0.0
2011-07-04,7.0,1.77,0.0,17.3,0.0
2011-07-05,1.02,1.77,0.0,3.0,0.0
2011-07-06,1.02,1.77,0.0,2.33,0.0
2011-07-07,1.02,1.77,0.0,2.33,0.0
2011-07-08,1.02,1.77,0.0,1.5,0.0
2011-07-09,1.02,1.77,0.0,1.5,0.0
2011-07-10,1.02,0.5,0.0,1.5,0.0
2011-07-11,1.02,1.77,0.0,2.33,0.0
2011-07-12,1.02,1.77,0.0,2.33,0.0
2011-07-13,1.02,3.0,0.0,2.33,0.0
2011-07-14,0.5,1.77,0.0,2.33,0.0
2011-07-15,1.02,1.77,0.0,2.33,0.0
2011-07-16,1.02,1.77,0.0,2.33,0.0
2011-07-17,1.02,7.2,0.0,2.33,0.0
2011-07-18,1.02,1.77,0.0,1.3,0.0
2011-07-19,13.5,17.4,0.0,5.8,0.0
2011-07-20,1.0,2.1,0.0,2.33,0.0
2011-07-21,1.02,1.77,0.0,0.4,0.0
2011-07-22,1.02,1.77,0.0,2.33,0.0
2011-07-23,1.02,1.77,0.0,2.33,0.0
2011-07-24,1.02,1.77,0.0,2.33,0.0
2011-07-25,1.02,1.77,0.0,2.33,0.0
2011-07-26,1.02,1.77,0.0,2.33,0.0
2011-07-27,1.02,1.77,0.0,2.33,0.0
2011-07-28,1.02,1.77,0.0,2.33,0.0
2011-07-29,1.02,1.77,0.0,2.33,0.0
2011-07-30,1.02,11.3,0.0,2.33,0.0
2011-07-31,1.02,1.2,0.0,2.33,0.0
2011-08-01,1.37,1.07,0.0,5.14,0.0
2011-08-02,1.37,1.07,0.0,5.14,0.0
2011-08-03,0.1,1.07,0.0,5.14,0.0
2011-08-04,15.4,17.2,0.0,133.0,0.0
2011-08-05,1.0,1.07,0.0,1.0,0.0
2011-08-06,1.37,1.07,0.0,5.14,0.0
2011-08-07,1.37,1.07,0.0,5.14,0.0
2011-08-08,1.37,1.07,0.0,5.14,0.0
2011-08-09,2.0,1.07,0.0,5.14,0.0
2011-08-10,1.37,1.07,0.0,5.14,0.0
2011-08-11,1.37,1.07,0.0,2.0,0.0
2011-08-12,1.37,1.07,0.0,5.14,0.0
2011-08-13,1.37,1.07,0.0,5.14,0.0
2011-08-14,1.37,1.07,0.0,5.14,0.0
2011-08-15,1.37,1.07,0.0,1.5,0.0
2011-08-16,1.37,1.07,0.0,5.14,0.0
2011-08-17,1.37,15.1,0.0,5.14,0.0
2011-08-18,1.37,1.07,0.0,5.14,0.0
2011-08-19,1.37,1.0,0.0,5.14,0.0
2011-08-20,2.0,1.07,0.0,5.14,0.0
2011-08-21,1.37,1.07,0.0,2.0,0.0
2011-08-22,1.37,1.07,0.0,5.0,0.0
2011-08-23,1.37,1.07,0.0,5.14,0.0
2011-08-24,1.37,1.07,0.0,5.14,0.0
2011-08-25,1.37,1.07,0.0,4.5,0.0
2011-08-26,1.37,1.07,0.0,2.0,0.0
2011-08-27,1.37,1.07,0.0,5.14,0.0
2011-08-28,10.0,1.07,0.0,5.14,0.0
2011-08-29,12.0,1.07,0.0,8.5,0.0
2011-08-30,1.37,1.07,0.0,5.14,0.0
2011-08-31,1.37,1.07,0.0,5.14,0.0
2011-09-01,3.39,4.74,1.37,2.26,0.0
2011-09-02,3.39,4.74,1.37,1.0,0.0
2011-09-03,3.39,4.74,1.37,1.0,0.0
2011-09-04,3.39,4.74,1.37,2.0,0.0
2011-09-05,3.39,4.74,1.37,2.26,0.0
2011-09-06,3.39,4.74,1.0,2.26,0.0
2011-09-07,3.39,4.74,1.37,2.26,0.0
2011-09-08,3.39,80.0,1.37,2.26,0.0
2011-09-09,3.39,0.8,0.2,2.26,0.0
2011-09-10,3.39,4.74,0.1,13.0,0.0
2011-09-11,3.39,4.74,1.37,2.26,0.0
2011-09-12,14.5,4.74,2.3,7.0,0.0
2011-09-13,3.39,4.74,1.37,2.26,0.0
2011-09-14,3.39,4.74,1.37,2.26,0.0
2011-09-15,3.39,4.74,0.1,2.26,0.0
2011-09-16,3.39,4.74,0.2,1.8,0.0
2011-09-17,3.39,6.4,5.4,2.26,0.0
2011-09-18,3.39,14.0,1.37,2.26,0.0
2011-09-19,4.5,4.74,0.4,2.26,0.0
2011-09-20,3.39,4.74,0.3,10.2,0.0
2011-09-21,3.39,2.1,0.2,1.5,0.0
2011-09-22,3.39,4.74,0.1,6.0,0.0
2011-09-23,58.7,22.2,21.1,3.0,0.0
2011-09-24,3.39,16.7,0.6,2.26,0.0
2011-09-25,3.39,4.74,0.5,2.26,0.0
2011-09-26,3.39,4.74,1.37,1.1,0.0
2011-09-27,3.39,4.74,1.37,11.2,0.0
2011-09-28,24.0,4.74,8.4,9.0,0.0
2011-09-29,3.39,4.74,0.2,2.26,0.0
2011-09-30,3.39,4.74,1.37,2.26,0.0
2011-10-01,7.58,7.44,0.9,4.54,0.0
2011-10-02,11.8,17.8,23.6,4.54,0.0
2011-10-03,7.58,7.44,0.3,4.54,0.0
2011-10-04,7.58,7.44,6.29,2.0,0.0
2011-10-05,7.58,1.8,7.1,4.54,0.0
2011-10-06,7.58,4.4,8.4,1.5,0.0
2011-10-07,5.3,1.4,11.02,12.0,0.0
2011-10-08,55.5,36.0,14.8,14.0,0.0
2011-10-09,7.58,0.4,18.0,18.2,0.0
2011-10-10,0.5,0.6,6.2,9.7,0.0
2011-10-11,3.0,7.44,6.29,1.0,0.0
2011-10-12,7.58,25.4,13.1,4.54,0.0
2011-10-13,7.58,0.2,1.1,4.54,0.0
2011-10-14,7.58,7.44,6.29,4.54,0.0
2011-10-15,7.58,12.8,6.29,4.54,0.0
2011-10-16,23.1,7.4,6.29,4.54,0.0
2011-10-17,1.0,0.2,1.2,4.54,0.0
2011-10-18,7.58,13.8,2.0,4.54,0.0
2011-10-19,2.3,0.2,1.0,11.0,0.0
2011-10-20,8.7,16.0,12.1,13.0,0.0
2011-10-21,18.0,25.4,7.5,2.0,0.0
2011-10-22,1.0,0.2,6.29,4.54,0.0
2011-10-23,7.58,7.44,0.3,5.2,0.0
2011-10-24,12.0,7.44,6.0,21.4,0.0
2011-10-25,7.58,7.44,6.29,4.54,0.0
2011-10-26,7.58,8.8,6.29,4.54,0.0
2011-10-27,8.0,7.44,18.0,18.0,0.0
2011-10-28,7.58,7.44,6.29,4.54,0.0
2011-10-29,24.0,7.44,6.29,6.0,0.0
2011-10-30,0.5,25.6,1.5,2.4,0.0
2011-10-31,60.4,32.4,41.1,3.6,0.0
2011-11-01,6.41,0.4,5.3,4.69,0.0
2011-11-02,6.41,14.37,6.25,4.69,0.0
2011-11-03,4.0,14.37,2.3,4.69,0.0
2011-11-04,1.8,11.2,2.0,4.69,0.0
2011-11-05,6.41,14.37,6.25,4.69,0.0
2011-11-06,6.41,77.2,6.25,4.69,0.0
2011-11-07,6.41,14.37,6.25,14.5,0.0
2011-11-08,6.41,14.37,1.0,0.3,0.0
2011-11-09,1.4,14.4,6.25,4.69,0.0
2011-11-10,3.0,13.2,4.0,2.0,0.0
2011-11-11,25.1,7.6,35.4,1.0,0.0
2011-11-12,2.5,1.2,10.2,9.8,0.0
2011-11-13,6.41,14.37,0.8,4.69,0.0
2011-11-14,10.8,50.0,4.3,4.69,0.0
2011-11-15,6.41,2.0,0.4,4.69,0.0
2011-11-16,2.5,1.4,3.6,7.0,0.0
2011-11-17,6.41,14.37,6.25,4.69,0.0
2011-11-18,9.2,54.2,10.2,23.6,0.0
2011-11-19,4.4,2.2,15.9,10.4,0.0
2011-11-20,16.0,12.4,8.2,4.69,0.0
2011-11-21,0.1,2.2,6.25,3.4,0.0
2011-11-22,48.5,107.0,31.3,33.0,0.0
2011-11-23,8.0,8.3,23.3,12.0,0.0
2011-11-24,6.41,14.37,1.0,4.69,0.0
2011-11-25,6.41,4.0,5.6,4.69,0.0
2011-11-26,6.41,0.4,0.6,4.69,0.0
2011-11-27,55.0,75.2,21.8,5.4,0.0
2011-11-28,6.41,14.37,0.2,8.4,0.0
2011-11-29,6.41,1.0,0.2,10.0,0.0
2011-11-30,6.41,14.37,6.25,4.69,0.0
2011-12-01,10.98,17.94,16.95,1.4,0.0
2011-12-02,5.0,10.0,7.2,2.2,0.0
2011-12-03,0.5,17.94,16.95,1.0,0.0
2011-12-04,10.98,17.94,12.5,5.81,0.0
2011-12-05,1.0,80.5,0.4,2.0,0.0
2011-12-06,5.5,40.7,20.1,8.0,0.0
2011-12-07,8.0,17.94,30.5,5.81,0.0
2011-12-08,0.3,17.94,10.2,7.0,0.0
2011-12-09,16.0,3.2,43.6,9.6,0.0
2011-12-10,34.0,26.4,38.2,28.0,0.0
2011-12-11,10.98,17.94,0.5,5.8,0.0
2011-12-12,25.0,13.7,17.9,1.0,0.0
2011-12-13,0.5,15.3,0.3,5.81,0.0
2011-12-14,46.0,23.2,72.8,5.0,0.0
2011-12-15,30.0,58.5,29.1,26.4,0.0
2011-12-16,10.98,17.94,2.3,5.81,0.0
2011-12-17,8.0,98.6,26.3,5.81,0.0
2011-12-18,15.0,34.5,26.5,6.0,0.0
2011-12-19,3.4,7.3,1.8,8.0,0.0
2011-12-20,4.9,2.4,5.5,3.0,0.0
